[2026-01-22 16:22:48] ============================================================
[2026-01-22 16:22:48] Updater started
[2026-01-22 16:22:48] Download URL: https://github.com/mahinkhan1408/TVL/releases/download/v1.0.0/PreservationApp.exe
[2026-01-22 16:22:48] Target EXE: C:\Scr\TVL\dist\PreservationApp.exe
[2026-01-22 16:22:48] Version: 1.0.0
[2026-01-22 16:22:48] Expected SHA256: 758B2000587DBDE3...
[2026-01-22 16:22:48] Waiting for PreservationApp.exe to exit...
[2026-01-22 16:22:49] PreservationApp.exe has exited
[2026-01-22 16:22:50] Backup created: C:\Scr\TVL\dist\PreservationApp.exe.backup
[2026-01-22 16:22:50] Downloading from https://github.com/mahinkhan1408/TVL/releases/download/v1.0.0/PreservationApp.exe...
[2026-01-22 16:23:00] Downloaded 8847360/39971592 bytes (22.1%)
[2026-01-22 16:23:00] Downloaded 8929280/39971592 bytes (22.3%)
[2026-01-22 16:23:01] Downloaded 9011200/39971592 bytes (22.5%)
[2026-01-22 16:23:01] Downloaded 9093120/39971592 bytes (22.7%)
[2026-01-22 16:23:01] Downloaded 9175040/39971592 bytes (23.0%)
[2026-01-22 16:23:01] Downloaded 9256960/39971592 bytes (23.2%)
[2026-01-22 16:23:01] Downloaded 9338880/39971592 bytes (23.4%)
[2026-01-22 16:23:01] Downloaded 9420800/39971592 bytes (23.6%)
[2026-01-22 16:23:01] Downloaded 9502720/39971592 bytes (23.8%)
[2026-01-22 16:23:01] Downloaded 9584640/39971592 bytes (24.0%)
[2026-01-22 16:23:01] Downloaded 9666560/39971592 bytes (24.2%)
[2026-01-22 16:23:01] Downloaded 9748480/39971592 bytes (24.4%)
[2026-01-22 16:23:01] Downloaded 9830400/39971592 bytes (24.6%)
[2026-01-22 16:23:02] Downloaded 9912320/39971592 bytes (24.8%)
[2026-01-22 16:23:02] Downloaded 9994240/39971592 bytes (25.0%)
[2026-01-22 16:23:02] Downloaded 10076160/39971592 bytes (25.2%)
[2026-01-22 16:23:02] Downloaded 10158080/39971592 bytes (25.4%)
[2026-01-22 16:23:02] Downloaded 10240000/39971592 bytes (25.6%)
[2026-01-22 16:23:02] Downloaded 10321920/39971592 bytes (25.8%)
[2026-01-22 16:23:02] Downloaded 10403840/39971592 bytes (26.0%)
[2026-01-22 16:23:02] Downloaded 10485760/39971592 bytes (26.2%)
[2026-01-22 16:23:03] Downloaded 10567680/39971592 bytes (26.4%)
[2026-01-22 16:23:03] Downloaded 10649600/39971592 bytes (26.6%)
[2026-01-22 16:23:03] Downloaded 10731520/39971592 bytes (26.8%)
[2026-01-22 16:23:03] Downloaded 10813440/39971592 bytes (27.1%)
[2026-01-22 16:23:03] Downloaded 10895360/39971592 bytes (27.3%)
[2026-01-22 16:23:03] Downloaded 10977280/39971592 bytes (27.5%)
[2026-01-22 16:23:03] Downloaded 11059200/39971592 bytes (27.7%)
[2026-01-22 16:23:03] Downloaded 11141120/39971592 bytes (27.9%)
[2026-01-22 16:23:03] Downloaded 11223040/39971592 bytes (28.1%)
[2026-01-22 16:23:04] Downloaded 11304960/39971592 bytes (28.3%)
[2026-01-22 16:23:04] Downloaded 11386880/39971592 bytes (28.5%)
[2026-01-22 16:23:04] Downloaded 11468800/39971592 bytes (28.7%)
[2026-01-22 16:23:04] Downloaded 11550720/39971592 bytes (28.9%)
[2026-01-22 16:23:04] Downloaded 11632640/39971592 bytes (29.1%)
[2026-01-22 16:23:04] Downloaded 11714560/39971592 bytes (29.3%)
[2026-01-22 16:23:04] Downloaded 11796480/39971592 bytes (29.5%)
[2026-01-22 16:23:04] Downloaded 11878400/39971592 bytes (29.7%)
[2026-01-22 16:23:04] Downloaded 11960320/39971592 bytes (29.9%)
[2026-01-22 16:23:04] Downloaded 12042240/39971592 bytes (30.1%)
[2026-01-22 16:23:04] Downloaded 12124160/39971592 bytes (30.3%)
[2026-01-22 16:23:04] Downloaded 12206080/39971592 bytes (30.5%)
[2026-01-22 16:23:04] Downloaded 12288000/39971592 bytes (30.7%)
[2026-01-22 16:23:04] Downloaded 12369920/39971592 bytes (30.9%)
[2026-01-22 16:23:04] Downloaded 12451840/39971592 bytes (31.2%)
[2026-01-22 16:23:05] Downloaded 12533760/39971592 bytes (31.4%)
[2026-01-22 16:23:05] Downloaded 12615680/39971592 bytes (31.6%)
[2026-01-22 16:23:05] Downloaded 12697600/39971592 bytes (31.8%)
[2026-01-22 16:23:05] Downloaded 12779520/39971592 bytes (32.0%)
[2026-01-22 16:23:05] Downloaded 12861440/39971592 bytes (32.2%)
[2026-01-22 16:23:05] Downloaded 12943360/39971592 bytes (32.4%)
[2026-01-22 16:23:05] Downloaded 13025280/39971592 bytes (32.6%)
[2026-01-22 16:23:05] Downloaded 13107200/39971592 bytes (32.8%)
[2026-01-22 16:23:05] Downloaded 13189120/39971592 bytes (33.0%)
[2026-01-22 16:23:05] Downloaded 13271040/39971592 bytes (33.2%)
[2026-01-22 16:23:05] Downloaded 13352960/39971592 bytes (33.4%)
[2026-01-22 16:23:05] Downloaded 13434880/39971592 bytes (33.6%)
[2026-01-22 16:23:05] Downloaded 13516800/39971592 bytes (33.8%)
[2026-01-22 16:23:05] Downloaded 13598720/39971592 bytes (34.0%)
[2026-01-22 16:23:05] Downloaded 13680640/39971592 bytes (34.2%)
[2026-01-22 16:23:05] Downloaded 13762560/39971592 bytes (34.4%)
[2026-01-22 16:23:06] Downloaded 13844480/39971592 bytes (34.6%)
[2026-01-22 16:23:06] Downloaded 13926400/39971592 bytes (34.8%)
[2026-01-22 16:23:06] Downloaded 14008320/39971592 bytes (35.0%)
[2026-01-22 16:23:06] Downloaded 14090240/39971592 bytes (35.3%)
[2026-01-22 16:23:06] Downloaded 14172160/39971592 bytes (35.5%)
[2026-01-22 16:23:06] Downloaded 14254080/39971592 bytes (35.7%)
[2026-01-22 16:23:06] Downloaded 14336000/39971592 bytes (35.9%)
[2026-01-22 16:23:06] Downloaded 14417920/39971592 bytes (36.1%)
[2026-01-22 16:23:06] Downloaded 14499840/39971592 bytes (36.3%)
[2026-01-22 16:23:06] Downloaded 14581760/39971592 bytes (36.5%)
[2026-01-22 16:23:06] Downloaded 14663680/39971592 bytes (36.7%)
[2026-01-22 16:23:06] Downloaded 14745600/39971592 bytes (36.9%)
[2026-01-22 16:23:06] Downloaded 14827520/39971592 bytes (37.1%)
[2026-01-22 16:23:06] Downloaded 14909440/39971592 bytes (37.3%)
[2026-01-22 16:23:06] Downloaded 14991360/39971592 bytes (37.5%)
